model,RMSE,MAE,sMAPE,R2
ARIMA,117.69729529735379,16.842744827270508,72.060974,-14.013906478881836
LSTM,25.19874128800881,13.585636138916016,66.363785,0.3117940425872803
LSTM-GPR,25.803513114738852,14.067011833190918,61.69033,0.27836358547210693
SimplifiedSTGCN,29.003611372659268,15.640217781066895,70.05431,0.08827275037765503
Hybrid (STGCN+LSTM-GPR),27.031817867951347,14.18526840209961,66.43144,0.20802539587020874
